"id","year","product_name","company","country","industry_group","weight_kg","carbon_footprint_pcf","upstream_percent_total_pcf","operations_percent_total_pcf","downstream_percent_total_pcf"
"10661-3-2014","2014","Slim Straight 514™ Jeans – Rigid Tank","Levi Strauss & Co.","USA","Consumer Durables & Apparel","0.68","7.7","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10661-3-2015","2015","Slim Straight 514™ Jeans – Rigid Tank","Levi Strauss & Co.","USA","Textiles, Apparel, Footwear and Luxury Goods","0.68","7.7","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10661-3-2016","2016","Slim Straight 514™ Jeans – Rigid Tank","Levi Strauss & Co.","USA","Consumer Durables & Apparel","0.88","7.7","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10661-4-2014","2014","501® Original Jeans – Light Stonewash","Levi Strauss & Co.","USA","Consumer Durables & Apparel","0.997","15.0","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10661-4-2015","2015","501® Original Jeans – Light Stonewash","Levi Strauss & Co.","USA","Textiles, Apparel, Footwear and Luxury Goods","0.997","15.0","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10661-5-2014","2014","501® Original Jeans – Medium Stonewash","Levi Strauss & Co.","USA","Consumer Durables & Apparel","0.997","16.0","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10661-5-2015","2015","501® Original Jeans – Medium Stonewash","Levi Strauss & Co.","USA","Textiles, Apparel, Footwear and Luxury Goods","0.997","16.0","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10661-6-2014","2014","Slim Straight 514™ Jeans – Tumbled Rigid","Levi Strauss & Co.","USA","Consumer Durables & Apparel","0.68","16.0","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10661-6-2015","2015","Slim Straight 514™ Jeans – Tumbled Rigid","Levi Strauss & Co.","USA","Textiles, Apparel, Footwear and Luxury Goods","0.68","16.0","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10661-7-2014","2014","Regular Straight 505® Jeans – Range (Water<Less™)","Levi Strauss & Co.","USA","Consumer Durables & Apparel","0.7665","16.0","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"1198-2-2014","2014","USB software","Autodesk, Inc.","USA","Software & Services","0.0085","2.29","67.61%","2.22%","30.17%"
"10661-7-2015","2015","Regular Straight 505® Jeans – Range (Water<Less™)","Levi Strauss & Co.","USA","Textiles, Apparel, Footwear and Luxury Goods","0.7665","16.0","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10661-8-2014","2014","Regular Straight 505® Jeans – Range","Levi Strauss & Co.","USA","Consumer Durables & Apparel","0.7665","16.0","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10661-8-2015","2015","Regular Straight 505® Jeans – Range","Levi Strauss & Co.","USA","Textiles, Apparel, Footwear and Luxury Goods","0.7665","16.0","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10661-9-2014","2014","Regular Straight 505® Jeans – House Cat","Levi Strauss & Co.","USA","Consumer Durables & Apparel","0.7665","15.0","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10661-9-2015","2015","Regular Straight 505® Jeans – House Cat","Levi Strauss & Co.","USA","Textiles, Apparel, Footwear and Luxury Goods","0.7665","16.0","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10666-10-2014","2014","MS315DN - Mono Laser Printer","Lexmark International, Inc.","USA","Technology Hardware & Equipment","16.03449","1616.172","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10666-11-2014","2014","MS410DN - Mono Laser Printer","Lexmark International, Inc.","USA","Technology Hardware & Equipment","15.898413","1523.19","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10666-1-2014","2014","CX310DN - Color Laser Printer","Lexmark International, Inc.","USA","Technology Hardware & Equipment","31.365912","2358.38","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10666-12-2014","2014","MS415DN - Mono Laser Printer","Lexmark International, Inc.","USA","Technology Hardware & Equipment","16.03449","1524.56","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10666-13-2014","2014","MS510DN - Mono Laser Printer","Lexmark International, Inc.","USA","Technology Hardware & Equipment","16.66952","1617.69","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10666-14-2014","2014","MS610DE - Mono Laser Printer","Lexmark International, Inc.","USA","Technology Hardware & Equipment","18.37049","1978.08","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10666-15-2014","2014","MS610DN - Mono Laser Printer","Lexmark International, Inc.","USA","Technology Hardware & Equipment","17.576704","1957.73","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10666-16-2014","2014","MS810DE - Mono Laser Printer","Lexmark International, Inc.","USA","Technology Hardware & Equipment","27.4877","2106.94","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10666-17-2014","2014","MS810DN - Mono Laser Printer","Lexmark International, Inc.","USA","Technology Hardware & Equipment","27.44234","2005.36","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10666-18-2014","2014","MS811DN - Mono Laser Printer","Lexmark International, Inc.","USA","Technology Hardware & Equipment","27.44234","2387.57","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10666-19-2014","2014","MS812DE - Mono Laser Printer","Lexmark International, Inc.","USA","Technology Hardware & Equipment","27.75985","2744.39","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10666-20-2014","2014","MS812DN - Mono Laser Printer","Lexmark International, Inc.","USA","Technology Hardware & Equipment","27.44234","2747.47","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
